url,requested_url,local_filename,page,alt_text,width,height
"https://static.wixstatic.com/media/276df0_b169e636746a4ea6bbd40c3ce53f60ef~mv2.jpeg/v1/fill/w_306,h_230,q_90,enc_avif,quality_auto/276df0_b169e636746a4ea6bbd40c3ce53f60ef~mv2.jpeg",https://static.wixstatic.com/media/276df0_b169e636746a4ea6bbd40c3ce53f60ef~mv2.jpeg,community-10-5d95e803.jpeg,community,IMG_1753.jpeg,3888,2916
"https://static.wixstatic.com/media/276df0_cca17ec9697d404dbf26b26fa97b8313~mv2.jpg/v1/fill/w_305,h_222,q_90,enc_avif,quality_auto/276df0_cca17ec9697d404dbf26b26fa97b8313~mv2.jpg",https://static.wixstatic.com/media/276df0_cca17ec9697d404dbf26b26fa97b8313~mv2.jpg,community-11-28eea8ee.jpg,community,IMG_0788 copy.jpg,3569,2603
"https://static.wixstatic.com/media/276df0_d0a76ab3f4a64fcd86498b7179a0f749~mv2.jpg/v1/fill/w_305,h_227,q_90,enc_avif,quality_auto/276df0_d0a76ab3f4a64fcd86498b7179a0f749~mv2.jpg",https://static.wixstatic.com/media/276df0_d0a76ab3f4a64fcd86498b7179a0f749~mv2.jpg,community-12-3c5a27ae.jpg,community,IMG_7482.jpeg,803,597
"https://static.wixstatic.com/media/276df0_e42e5f575754475fbf53a2dcff7aa37e~mv2.jpeg/v1/fill/w_305,h_229,q_90,enc_avif,quality_auto/276df0_e42e5f575754475fbf53a2dcff7aa37e~mv2.jpeg",https://static.wixstatic.com/media/276df0_e42e5f575754475fbf53a2dcff7aa37e~mv2.jpeg,community-13-7f84b833.jpeg,community,IMG_3234.jpeg,2574,1931
"https://static.wixstatic.com/media/276df0_f1965da6e516458da989e2f72c269850~mv2.jpg/v1/fill/w_305,h_281,q_90,enc_avif,quality_auto/276df0_f1965da6e516458da989e2f72c269850~mv2.jpg",https://static.wixstatic.com/media/276df0_f1965da6e516458da989e2f72c269850~mv2.jpg,community-14-889754e8.jpg,community,B572F356-80AF-4992-8BBB-73A1E08BF159.JPG,3024,2782
"https://static.wixstatic.com/media/39aeda_43257d8b95994612a5462f0f9f795a07~mv2.png/v1/crop/x_0,y_229,w_2832,h_1191/fill/w_980,h_412,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/DSCF7766_edited.png",https://static.wixstatic.com/media/39aeda_43257d8b95994612a5462f0f9f795a07~mv2.png,community-15-81a0d706.png,community,DSCF7766_edited.png,2832,1648
"https://static.wixstatic.com/media/39aeda_6937f426a1124227a3e708ac72bfdff9~mv2.jpg/v1/fill/w_306,h_204,q_90,enc_avif,quality_auto/39aeda_6937f426a1124227a3e708ac72bfdff9~mv2.jpg",https://static.wixstatic.com/media/39aeda_6937f426a1124227a3e708ac72bfdff9~mv2.jpg,community-16-29bf58b1.jpg,community,,6240,4160
"https://static.wixstatic.com/media/39aeda_b3af726f42dc4b678dc61e89af5383ba~mv2.jpg/v1/fill/w_1280,h_577,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/39aeda_b3af726f42dc4b678dc61e89af5383ba~mv2.jpg",https://static.wixstatic.com/media/39aeda_b3af726f42dc4b678dc61e89af5383ba~mv2.jpg,community-17-e032346b.jpg,community,PXL_20240303_200618713_edited.jpg,3000,1431
"https://static.wixstatic.com/media/39aeda_eb2792239ff649ff92750e32585ba131~mv2.jpeg/v1/fill/w_305,h_203,q_90,enc_avif,quality_auto/39aeda_eb2792239ff649ff92750e32585ba131~mv2.jpeg",https://static.wixstatic.com/media/39aeda_eb2792239ff649ff92750e32585ba131~mv2.jpeg,community-18-dc813e70.jpeg,community,,1086,724
"https://static.wixstatic.com/media/39aeda_852fef4bb9114ab99bf902ed30033760~mv2.jpg/v1/fill/w_1280,h_864,al_b,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/39aeda_852fef4bb9114ab99bf902ed30033760~mv2.jpg",https://static.wixstatic.com/media/39aeda_852fef4bb9114ab99bf902ed30033760~mv2.jpg,home-00-edd9185d.jpg,home,,2850,2018
"https://static.wixstatic.com/media/39aeda_d518c9aff1984b9b8390242dfa801abe~mv2.jpg/v1/crop/x_0,y_542,w_6240,h_3075/fill/w_980,h_483,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/DSCF5041_JPG.jpg",https://static.wixstatic.com/media/39aeda_d518c9aff1984b9b8390242dfa801abe~mv2.jpg,home-01-564702c7.jpg,home,DSCF5041.JPG,6240,4160
"https://static.wixstatic.com/media/276df0_b9e9f7bd6b5a4edb96c20d54ea86d69d~mv2.jpeg/v1/crop/x_0,y_172,w_3411,h_1564/fill/w_979,h_449,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/3CFF61D0-F8B4-4099-A0BD-599AEF361B6E.jpeg",https://static.wixstatic.com/media/276df0_b9e9f7bd6b5a4edb96c20d54ea86d69d~mv2.jpeg,racing-00-05115e4e.jpeg,racing,3CFF61D0-F8B4-4099-A0BD-599AEF361B6E.jpeg,3411,1908
"https://static.wixstatic.com/media/276df0_ba84d83724f9451d814d8e352d3f2038~mv2.jpg/v1/fill/w_372,h_248,q_90,enc_avif,quality_auto/276df0_ba84d83724f9451d814d8e352d3f2038~mv2.jpg",https://static.wixstatic.com/media/276df0_ba84d83724f9451d814d8e352d3f2038~mv2.jpg,racing-01-e7002d2a.jpg,racing,,1280,852
"https://static.wixstatic.com/media/39aeda_15b95e6fae0148b5a01104f5cb1b6070~mv2.jpg/v1/fill/w_253,h_190,q_90,enc_avif,quality_auto/39aeda_15b95e6fae0148b5a01104f5cb1b6070~mv2.jpg",https://static.wixstatic.com/media/39aeda_15b95e6fae0148b5a01104f5cb1b6070~mv2.jpg,racing-02-98c117f2.jpg,racing,,3648,2736
"https://static.wixstatic.com/media/39aeda_178d165570114ef596fe457c8e35397c~mv2.jpg/v1/fill/w_260,h_174,q_90,enc_avif,quality_auto/39aeda_178d165570114ef596fe457c8e35397c~mv2.jpg",https://static.wixstatic.com/media/39aeda_178d165570114ef596fe457c8e35397c~mv2.jpg,racing-03-6e7db6a2.jpg,racing,,2048,1365
"https://static.wixstatic.com/media/39aeda_1bfdc711eb42433c8b2f9bc506b622a0~mv2.jpg/v1/fill/w_287,h_215,q_90,enc_avif,quality_auto/39aeda_1bfdc711eb42433c8b2f9bc506b622a0~mv2.jpg",https://static.wixstatic.com/media/39aeda_1bfdc711eb42433c8b2f9bc506b622a0~mv2.jpg,racing-04-e61dbe32.jpg,racing,,5712,4284
"https://static.wixstatic.com/media/39aeda_2512b16016584071834a375218e873be~mv2.jpg/v1/fill/w_136,h_182,q_90,enc_avif,quality_auto/39aeda_2512b16016584071834a375218e873be~mv2.jpg",https://static.wixstatic.com/media/39aeda_2512b16016584071834a375218e873be~mv2.jpg,racing-05-6da48d8c.jpg,racing,,3024,4032
"https://static.wixstatic.com/media/39aeda_288fa59325c24ad099f2b3cd63ccf48c~mv2.jpg/v1/fill/w_189,h_253,q_90,enc_avif,quality_auto/39aeda_288fa59325c24ad099f2b3cd63ccf48c~mv2.jpg",https://static.wixstatic.com/media/39aeda_288fa59325c24ad099f2b3cd63ccf48c~mv2.jpg,racing-06-83b8e6eb.jpg,racing,,3024,4032
"https://static.wixstatic.com/media/39aeda_2c89ac43792144e981dd29d2309d98d4~mv2.jpg/v1/fill/w_123,h_164,q_90,enc_avif,quality_auto/39aeda_2c89ac43792144e981dd29d2309d98d4~mv2.jpg",https://static.wixstatic.com/media/39aeda_2c89ac43792144e981dd29d2309d98d4~mv2.jpg,racing-07-9e92d6c6.jpg,racing,,3024,4032
